"year","ccode1","wbcode","infl","pubdebt_gdp","sname","lpubdebtgdp","linfl","frt0425","dfrt0425","lfrt0425","spread","spread_pct","ltspreadus","newspread","newspreadl","dnewspread","ldnewspread","dpubdebtgdp","dinfl","lnewspreadl","yr1","yr2","yr3","yr4","yr5","yr6","yr7","yr8","yr9","yr10","yr11","yr12","yr13","yr14","yr15","yr16","yr17","yr18","yr19","yr20","yr21","yr22","lfrtxpub0425","lers","lpcgdpl","ldpcgdpl","advanced","advgrowth","us3mrate","ldfrt0425","ldpubdebtgdp","ldfrtxdpub0425","oecd","emu","pcgdp2005l","lpcgdp2005l","cgdpgrowth","ka_open","lka_open","lcgdpgrowth","s1name","dpcgdp2005l","dcgdpgrowth","dka_open","dfrtxdpub0425","country","iso2c","lower_95","lower_90","median","upper_90","upper_95","frt","lfrt","dfrt","ltratecov","dratecov","lltratecov","lnewspread","lfrtxdpub","lvix","loecdgrowth","doecdgrowth","dvix","_merge","dus3mrate","lus3mrate","dfrtxdpub","ldfrt","lfrtxlpub"
2007,140,"BRA",3.64000010490417,65.1500015258789,"Brazil",66.9599990844727,4.17999982833862,2.85999989509583,0.0819997787475586,2.77800011634827,180.179992675781,1.80179989337921,,1.80179989337921,1.91718721389771,-0.532349944114685,-1.61041021347046,-1.80999755859375,-0.539999723434448,1.99254155158997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,186.014892578125,0.191400289535522,2.14489102363586,0.00579071044921875,0,3.34175491333008,4.34999990463257,0.113000154495239,-2.37000274658203,-0.267810672521591,0,0,8.54111099243164,8.49179363250732,6.09545040130615,0.531109154224396,0.531109154224396,3.95541477203369,"Brazil",0.0493173599243164,2.14003562927246,0,-0.148419395089149,"Brazil","BR",1.47399997711182,1.49399995803833,2.94400000572205,4.61199998855591,5.23000001907349,2.94400000572205,2.82399988174438,0.120000123977661,,,,2.3341498374939,-5.1114330291748,12.8100004196167,2.87939524650574,-0.29223895072937,4.73000049591064,3,-0.380000114440918,4.73000001907349,-0.217199936509132,0.05899977684021,189.095031738281
2008,140,"BRA",5.67999982833862,63.4500007629395,"Brazil",65.1500015258789,3.64000010490417,2.95000004768372,0.0900001525878906,2.85999989509583,301.169006347656,3.01169013977051,,3.01169013977051,2.0809018611908,1.2098902463913,-0.532349944114685,-1.70000076293945,2.03999972343445,1.91718721389771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,186.328994750977,0.238689333200455,2.14969563484192,0.00480461120605469,0,0.399340510368347,1.37000000476837,0.0819997787475586,-1.80999755859375,-0.148419395089149,0,0,8.58224678039551,8.54111099243164,5.16930103302002,0.531109154224396,0.531109154224396,6.09545040130615,"Brazil",0.0411357879638672,-0.926149368286133,0,-0.153000324964523,"Brazil","BR",1.4650000333786,1.48000001907349,3.01300001144409,4.69600009918213,5.33799982070923,3.01300001144409,2.94400000572205,0.0690000057220459,,,,1.80179989337921,-5.00480222702026,17.5400009155273,2.58715629577637,-2.48360157012939,15.1499977111816,3,-2.98000001907349,4.34999990463257,-0.117300063371658,0.120000123977661,191.801605224609
2009,140,"BRA",4.8899998664856,66.8199996948242,"Brazil",63.4500007629395,5.67999982833862,3.06399989128113,0.113999843597412,2.95000004768372,306.118988037109,3.06118988990784,,3.06118988990784,2.08706116676331,0.0494997501373291,1.2098902463913,3.36999893188477,-0.789999961853027,2.0809018611908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,187.177505493164,0.132905974984169,2.14826798439026,-0.00142765045166016,0,-3.37613487243652,0.150000005960464,0.0900001525878906,-1.70000076293945,-0.153000324964523,0,0,8.57000160217285,8.58224678039551,-0.328248292207718,0.531109154224396,0.531109154224396,5.16930103302002,"",-0.0122451782226562,-5.49754953384399,0,0.384179353713989,"Brazil","BR",1.41100001335144,1.5110000371933,3.06599998474121,4.83400011062622,5.51999998092651,3.06599998474121,3.01300001144409,0.0529999732971191,,,,3.01169013977051,10.1538066864014,32.689998626709,0.103554643690586,-3.6426637172699,-1.20999908447266,3,-1.22000002861023,1.37000000476837,0.178609848022461,0.0690000057220459,191.174850463867
2010,140,"BRA",5.03999996185303,64.9800033569336,"Brazil",66.8199996948242,4.8899998664856,3.09100008010864,0.0270001888275146,3.06399989128113,201.884002685547,2.01884007453918,,2.01884007453918,1.94859802722931,-1.04234981536865,0.0494997501373291,-1.83999633789062,0.150000095367432,2.08706116676331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,204.736465454102,0.240288615226746,2.15568351745605,0.0074155330657959,0,2.01115918159485,0.140000000596046,0.113999843597412,3.36999893188477,0.384179353713989,0,0,8.6337890625,8.57000160217285,7.53361701965332,0.470093041658401,0.531109154224396,-0.328248292207718,"",0.0637874603271484,7.86186552047729,-0.0610161125659943,-0.0496802479028702,"Brazil","BR",1.34399998188019,1.432000041008,3.10199999809265,4.97900009155273,5.67600011825562,3.10199999809265,3.06599998474121,0.0360000133514404,,,,3.06118988990784,-5.64142894744873,31.4799995422363,-3.53910899162292,6.29347896575928,-8.93000030517578,3,-0.010000005364418,0.150000005960464,-0.0662398934364319,0.0529999732971191,204.8701171875
2011,140,"BRA",6.6399998664856,64.6500015258789,"Brazil",64.9800033569336,5.03999996185303,3.10899996757507,0.0179998874664307,3.09100008010864,195.141998291016,1.95141994953156,,1.95141994953156,1.93894588947296,-0.0674201250076294,-1.04234981536865,-0.330001831054688,1.59999990463257,1.94859802722931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200.85319519043,0.233993604779243,2.15778470039368,0.00210118293762207,0,1.23400449752808,0.0500000007450581,0.0270001888275146,-1.83999633789062,-0.0496802479028702,0,0,8.65194988250732,8.6337890625,2.732506275177,0.409076929092407,0.470093041658401,7.53361701965332,"",0.0181608200073242,-4.80111074447632,-0.0610161125659943,-0.00593999586999416,"Brazil","BR",1.10199999809265,1.30900001525879,3.11100006103516,5.17700004577637,5.6710000038147,3.11100006103516,3.10199999809265,0.00900006294250488,,,,2.01884007453918,-1.0236656665802,22.5499992370605,2.75436973571777,-1.1677919626236,1.65000152587891,3,-0.0900000035762787,0.140000000596046,-0.00297003728337586,0.0360000133514404,201.567977905273
1990,160,"ARG",2313.9599609375,55.8199996948242,"Argentina",,,0.460999995470047,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0181451290845871,2.09065055847168,,,2.64712333679199,7.48999977111816,,,,0,0,8.09017562866211,,-2.39896082878113,0.162911057472229,0.162911057472229,,"Argentina",,,,,"Argentina","AR",-0.0120000001043081,0.108999997377396,0.540000021457672,1.05099999904633,1.10300004482269,0.540000021457672,,,,,,,,,3.91646099090576,-0.891098737716675,,3,,,,,
1991,160,"ARG",171.669998168945,45.6199989318848,"Argentina",55.8199996948242,2313.9599609375,0.47299998998642,0.0119999945163727,0.460999995470047,,,,,,,,-10.2000007629395,-2142.2900390625,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7330188751221,0.0276829358190298,2.10361647605896,0.0129659175872803,,1.37450575828552,5.38000011444092,,,,0,0,8.19575691223145,8.09017562866211,12.6697101593018,0.162911057472229,0.162911057472229,-2.39896082878113,"Argentina",0.105581283569336,15.0686712265015,0,-0.12239995598793,"Argentina","AR",0.0500000007450581,0.129999995231628,0.541999995708466,0.994000017642975,1.07099997997284,0.541999995708466,0.540000021457672,0.00199997425079346,,,,,-5.50800085067749,23.0599994659424,3.02536225318909,-1.78374373912811,-4.68999862670898,3,-2.10999965667725,7.48999977111816,-0.0203997381031513,,30.14280128479
1992,160,"ARG",24.8999996185303,38.4500007629395,"Argentina",45.6199989318848,171.669998168945,0.501999974250793,0.0289999842643738,0.47299998998642,,,,,,,,-7.16999816894531,-146.770004272461,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5782585144043,0.0621628724038601,2.11567401885986,0.0120575428009033,,1.13772594928741,3.4300000667572,0.0119999945163727,-10.2000007629395,-0.12239995598793,0,0,8.29517459869385,8.19575691223145,11.9407720565796,0.162911057472229,0.162911057472229,12.6697101593018,"Argentina",0.0994176864624023,-0.728938102722168,0,-0.207929834723473,"Argentina","AR",0.0280000008642673,0.150999993085861,0.532000005245209,1.00199997425079,1.02600002288818,0.532000005245209,0.541999995708466,-0.00999999046325684,,,,,-3.88613891601562,18.3700008392334,1.24161851406097,0.805625557899475,-2.92000102996826,3,-1.95000004768372,5.38000011444092,0.0716999098658562,0.00199997425079346,24.7260398864746
1993,160,"ARG",18.5100002288818,35.939998626709,"Argentina",38.4500007629395,24.8999996185303,0.532000005245209,0.0300000309944153,0.501999974250793,352,3.51999998092651,,3.51999998092651,2.14241623878479,,,-2.51000213623047,-6.38999938964844,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3018989562988,1,2.12100195884705,0.00532793998718262,,0.748088300228119,3,0.0289999842643738,-7.16999816894531,-0.207929834723473,0,0,8.33948993682861,8.29517459869385,5.90692567825317,0.755935490131378,0.162911057472229,11.9407720565796,"Argentina",0.0443153381347656,-6.03384637832642,0.593024432659149,-0.0753001421689987,"Argentina","AR",0.0649999976158142,0.157000005245209,0.563000023365021,1.00100004673004,1.04799997806549,0.563000023365021,0.532000005245209,0.031000018119812,,,,,-1.33532118797302,15.4499998092651,2.04724407196045,-0.756426692008972,-2.76000022888184,3,-0.430000066757202,3.4300000667572,-0.0778101086616516,-0.00999999046325684,20.4554004669189
1994,160,"ARG",4.17999982833862,28.8899993896484,"Argentina",35.939998626709,18.5100002288818,0.597000002861023,0.0649999976158142,0.532000005245209,658.840026855469,6.58840036392212,,6.58840036392212,2.45000457763672,3.06840038299561,,-7.04999923706055,-14.3299999237061,2.14241623878479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1200790405273,1,2.12625551223755,0.00525355339050293,,3.32787466049194,4.25,0.0300000309944153,-2.51000213623047,-0.0753001421689987,0,0,8.38341617584229,8.33948993682861,5.83619451522827,0.816951632499695,0.755935490131378,5.90692567825317,"Argentina",0.0439262390136719,-0.0707311630249023,0.0610161423683167,-0.458249926567078,"Argentina","AR",0.142000004649162,0.172000005841255,0.611000001430511,1,1.11199998855591,0.611000001430511,0.563000023365021,0.0479999780654907,,,,3.51999998092651,-3.96914982795715,12.6899995803833,1.29081737995148,1.91920053958893,1.24000072479248,3,1.25,3,-0.338399797677994,0.031000018119812,20.2342205047607
1995,160,"ARG",3.38000011444092,33.689998626709,"Argentina",28.8899993896484,4.17999982833862,0.639999985694885,0.0429999828338623,0.597000002861023,1264.68994140625,12.6468992233276,,12.6468992233276,2.87056016921997,6.05849885940552,3.06840038299561,4.79999923706055,-0.799999713897705,2.45000457763672,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2473297119141,1,2.12130522727966,-0.00495028495788574,0,3.10880708694458,5.48999977111816,0.0649999976158142,-7.04999923706055,-0.458249926567078,0,0,8.34201812744141,8.38341617584229,-2.84520530700684,0.877967774868011,0.816951632499695,5.83619451522827,"Argentina",-0.0413980484008789,-8.68140029907227,0.0610161423683167,0.206399887800217,"Argentina","AR",0.179000005125999,0.264999985694885,0.660000026226044,1.05400002002716,1.10099995136261,0.660000026226044,0.611000001430511,0.0490000247955322,,,,6.58840036392212,2.93279957771301,13.9300003051758,3.21001791954041,-0.426798105239868,-1.53999996185303,3,1.23999977111816,4.25,0.235200077295303,0.0479999780654907,17.6517906188965
1996,160,"ARG",0.159999996423721,35.5699996948242,"Argentina",33.689998626709,3.38000011444092,0.680000007152557,0.0400000214576721,0.639999985694885,698.369995117188,6.98369979858398,,6.98369979858398,2.48354744911194,-5.66319942474365,6.05849885940552,1.88000106811523,-3.22000002861023,2.87056016921997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5615978240967,1,2.12626767158508,0.00496244430541992,0,2.62135052680969,5.01000022888184,0.0429999828338623,4.79999923706055,0.206399887800217,0,0,8.38351821899414,8.34201812744141,5.52669048309326,0.69281804561615,0.877967774868011,-2.84520530700684,"Argentina",0.0415000915527344,8.3718957901001,-0.185149729251862,0.075200080871582,"Argentina","AR",0.202000007033348,0.300999999046326,0.702000021934509,1.09700000286102,1.16700005531311,0.702000021934509,0.660000026226044,0.0419999957084656,,,,12.6468992233276,1.24080073833466,12.3900003433228,2.78321981430054,0.120951652526855,4.05000019073486,3,-0.479999542236328,5.48999977111816,0.0789600387215614,0.0490000247955322,22.2353992462158
1997,160,"ARG",0.529999971389771,35.0800018310547,"Argentina",35.5699996948242,0.159999996423721,0.718999981880188,0.0389999747276306,0.680000007152557,381.709991455078,3.81709980964661,,3.81709980964661,2.17669296264648,-3.16659998893738,-5.66319942474365,-0.489997863769531,0.369999974966049,2.48354744911194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1875991821289,1,2.13410472869873,0.00783705711364746,0,3.36216759681702,5.05999994277954,0.0400000214576721,1.88000106811523,0.075200080871582,0,0,8.44947910308838,8.38351821899414,8.11104774475098,0.938983917236328,0.69281804561615,5.52669048309326,"Argentina",0.0659608840942383,2.58435726165771,0.246165871620178,-0.0191099047660828,"Argentina","AR",0.275000005960464,0.361999988555908,0.745000004768372,1.13199996948242,1.21700000762939,0.745000004768372,0.702000021934509,0.0429999828338623,,,,6.98369979858398,-0.343978524208069,16.4400005340576,2.90417146682739,0.534695386886597,5.92000007629395,3,0.0499997138977051,5.01000022888184,-0.0210698992013931,0.0419999957084656,24.9701404571533
1998,160,"ARG",0.930000007152557,38.1800003051758,"Argentina",35.0800018310547,0.529999971389771,0.767000019550323,0.0480000376701355,0.718999981880188,596.820007324219,5.96820020675659,,5.96820020675659,2.39500021934509,2.15110039710999,-3.16659998893738,3.09999847412109,0.400000035762787,2.17669296264648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2225208282471,1,2.13719129562378,0.00308656692504883,0,3.08352494239807,4.78000020980835,0.0389999747276306,-0.489997863769531,-0.0191099047660828,0,0,8.47559833526611,8.44947910308838,3.85017871856689,0.877967774868011,0.938983917236328,8.11104774475098,"Argentina",0.0261192321777344,-4.26086902618408,-0.0610161423683167,0.148800045251846,"Argentina","AR",0.331000000238419,0.407000005245209,0.790000021457672,1.17499995231628,1.26400005817413,0.790000021457672,0.745000004768372,0.0450000166893005,,,,3.81709980964661,2.30949878692627,22.3600006103516,3.43886685371399,-0.819497346878052,3.23999977111816,3,-0.279999732971191,5.05999994277954,0.139499977231026,0.0429999828338623,26.1346015930176
1999,160,"ARG",-1.16999995708466,43.4900016784668,"Argentina",38.1800003051758,0.930000007152557,0.841000020503998,0.0740000009536743,0.767000019550323,720.799987792969,7.20799970626831,,7.20799970626831,2.50209140777588,1.23979949951172,2.15110039710999,5.31000137329102,-2.09999990463257,2.39500021934509,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.2840614318848,1,2.13179659843445,-0.00539469718933105,0,3.35469174385071,4.6399998664856,0.0480000376701355,3.09999847412109,0.148800045251846,0,0,8.42999839782715,8.47559833526611,-3.3854603767395,0.816951632499695,0.877967774868011,3.85017871856689,"Argentina",-0.0455999374389648,-7.2356390953064,-0.0610161423683167,0.392940104007721,"Argentina","AR",0.377999991178513,0.472000002861023,0.85699999332428,1.25800001621246,1.34200000762939,0.85699999332428,0.790000021457672,0.0669999718666077,,,,5.96820020675659,4.19490098953247,25.6000003814697,2.61936950683594,0.808769941329956,-1.22999954223633,3,-0.140000343322754,4.78000020980835,0.35576993227005,0.0450000166893005,30.1622009277344
2000,160,"ARG",-0.939999997615814,45.6199989318848,"Argentina",43.4900016784668,-1.16999995708466,0.921000003814697,0.0799999833106995,0.841000020503998,667.559997558594,6.67560005187988,,6.67560005187988,2.45750117301941,-0.532399654388428,1.23979949951172,2.12999725341797,0.229999959468842,2.50209140777588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.5750923156738,1,2.12959909439087,-0.0021975040435791,0,4.12122297286987,5.82000017166138,0.0740000009536743,5.31000137329102,0.392940104007721,0,0,8.4114933013916,8.42999839782715,-0.788994252681732,0.755935490131378,0.816951632499695,-3.3854603767395,"Argentina",-0.0185050964355469,2.59646606445312,-0.0610161423683167,0.170399740338326,"Argentina","AR",0.492000013589859,0.570999979972839,0.943000018596649,1.39499998092651,1.46899998188019,0.943000018596649,0.85699999332428,0.0860000252723694,,,,7.20799970626831,1.82540762424469,24.3700008392334,3.42813944816589,0.480717182159424,-1.05000114440918,3,1.18000030517578,4.6399998664856,0.183179810643196,0.0669999718666077,37.2709312438965
2001,160,"ARG",-1.07000005245209,53.6199989318848,"Argentina",45.6199989318848,-0.939999997615814,1.00600004196167,0.0850000381469727,0.921000003814697,1561.22998046875,15.6122999191284,,15.6122999191284,3.02588796615601,8.93669986724854,-0.532399654388428,8,-0.130000054836273,2.45750117301941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.0160179138184,1,2.12302994728088,-0.00656914710998535,0,1.98605704307556,3.39000010490417,0.0799999833106995,2.12999725341797,0.170399740338326,0,0,8.35641956329346,8.4114933013916,-4.40883827209473,0.162911057472229,0.755935490131378,-0.788994252681732,"Argentina",-0.0550737380981445,-3.61984395980835,-0.593024432659149,0.680000305175781,"Argentina","AR",0.513999998569489,0.61599999666214,1.01499998569489,1.50499999523163,1.5789999961853,1.01499998569489,0.943000018596649,0.0719999670982361,,,,6.67560005187988,7.54400014877319,23.3199996948242,3.90885663032532,-2.48785781860352,2.43000030517578,3,-2.4300000667572,5.82000017166138,0.575999736785889,0.0860000252723694,43.019660949707
