"iso2c","country","year","Rep_GFDD.DI.01","Rep_GFDD.DI.02","Rep_GFDD.DI.03","Rep_GFDD.DI.04","Rep_GFDD.DI.05","Rep_GFDD.DI.06","Rep_GFDD.DI.07","Rep_GFDD.DI.08","Rep_GFDD.DI.11","Rep_GFDD.DI.12","Rep_GFDD.DI.13","Rep_GFDD.DI.14","Rep_GFDD.EI.08","Rep_GFDD.OI.02","Rep_GFDD.SI.02","Rep_GFDD.SI.03","Rep_GFDD.SI.04","Rep_GFDD.SI.05","Rep_GFDD.SI.07"
"KY","Cayman Islands",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CL","Chile",1998,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1
"CL","Chile",1999,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2000,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2001,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2002,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2003,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2004,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2005,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2006,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2007,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2008,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2009,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CL","Chile",2011,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"CN","China",1998,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
