"iso2c","year","country","GFDDDI01","GFDDDI03","GFDDDI04","GFDDDI05","GFDDDI06","GFDDDI07","GFDDDI08","GFDDDI11","GFDDDI14","GFDDEI02","GFDDEI08","GFDDOI02","GFDDSI04","Rep_GFDDDI01","Rep_GFDDDI03","Rep_GFDDDI04","Rep_GFDDDI05","Rep_GFDDDI06","Rep_GFDDDI07","Rep_GFDDDI08","Rep_GFDDDI11","Rep_GFDDDI14","Rep_GFDDEI02","Rep_GFDDEI08","Rep_GFDDOI02","Rep_GFDDSI04"
"BR",2012,"Brazil",62.9098510742188,16.9215183258057,84.0677947998047,75.076416015625,18.8590068817139,50.078,54.1691284179688,10.4259996414185,68.5357360839844,28.7290000915527,38.3580017089844,54.1691284179688,116.489669799805,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR",2013,"Brazil",66.4983520507813,15.4567098617554,84.6859893798828,76.8159027099609,19.2788715362549,49.682,55.7254943847656,NA,70.6844253540039,19.5849990844727,35.3709983825684,55.7254943847656,122.105651855469,1,1,1,1,1,1,1,0,1,1,1,1,1
"BS",1990,"Bahamas, The",33.4752960205078,12.9656887054443,92.1517562866211,48.0237731933594,3.2880585193634,NA,45.5646209716797,NA,46.3108024597168,2.42899990081787,9.60999965667725,34.1755561828613,99.6625747680664,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1991,"Bahamas, The",39.6387596130371,12.7513914108276,91.8319931030273,54.5553245544434,4.0642466545105,NA,51.6498870849609,NA,48.7053070068359,2.08299994468689,11.5509996414185,40.4748306274414,96.2203216552734,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1992,"Bahamas, The",41.9451065063477,13.5797395706177,91.3327407836914,58.4498634338379,4.57845640182495,NA,55.4264526367188,NA,50.8137664794922,1.95000004768372,11.5710000991821,43.7946319580078,95.3404388427734,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1993,"Bahamas, The",45.9936180114746,12.1630163192749,93.7808380126953,62.3122711181641,4.42935848236084,NA,59.1917304992676,NA,53.948902130127,2.26799988746643,14.6619997024536,48.8132514953613,93.2525100708008,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1994,"Bahamas, The",48.9274597167969,9.50372314453125,92.9292449951172,62.5541839599609,4.22300910949707,NA,59.5475082397461,NA,57.0266952514648,2.57399988174438,12.0729999542236,51.300407409668,97.3515243530273,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1995,"Bahamas, The",55.0844993591309,9.71627902984619,93.3168869018555,67.3390274047852,4.78569889068604,NA,64.2114715576172,NA,60.0787391662598,2.55299997329712,12.3900003433228,55.8878173828125,99.6914978027344,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1996,"Bahamas, The",51.8841667175293,8.6835355758667,93.6786804199219,61.1170845031738,4.20008897781372,NA,58.3986930847168,NA,62.349681854248,1.6139999628067,12.2340002059937,51.0298652648926,103.569351196289,1,1,1,1,1,0,1,0,1,1,1,1,1
"BS",1997,"Bahamas, The",51.6301498413086,4.48968601226807,95.2833480834961,55.3845405578613,3.41669774055481,NA,52.880428314209,NA,51.4191436767578,1.52199995517731,10.1230001449585,49.2246475219727,105.952903747559,1,1,1,1,1,0,1,0,1,1,1,1,1
