"country","iso2c","quarter","bond_yld_datastream","bond_yld_datastream_details"
"Australia","AU",1969.4,5.88,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1970.1,5.99,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1970.2,6.88,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1970.3,6.88,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1970.4,6.84,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1971.1,6.85,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1971.2,6.83,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1971.3,6.8,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1971.4,6.37,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1972.1,5.94,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1972.2,5.85,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1972.3,5.77,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1972.4,5.77,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1973.1,5.75,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1973.2,6.35,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1973.3,7.28,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1973.4,8.35,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1974.1,8.36,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1974.2,8.78,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1974.3,9.5,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1974.4,9.5,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1975.1,9.47,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1975.2,9.5,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1975.3,10,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1975.4,10,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1976.1,10,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1976.2,10,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1976.3,9.99,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1976.4,10.13,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1977.1,10.4,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
