"countrynum","yearnum","variable","value"
5,9,5,0
5,9,6,0
5,9,7,1
5,9,8,0
5,9,9,1
5,9,10,1
5,9,11,1
5,9,12,1
5,9,13,1
5,10,1,1
5,10,2,0
5,10,3,0
5,10,4,1
5,10,5,0
5,10,6,0
5,10,7,1
5,10,8,0
5,10,9,1
5,10,10,1
5,10,11,1
5,10,12,1
5,10,13,1
5,11,1,1
5,11,2,0
5,11,3,0
5,11,4,1
5,11,5,0
5,11,6,0
5,11,7,1
5,11,8,0
5,11,9,1
5,11,10,1
5,11,11,1
5,11,12,1
5,11,13,1
5,12,1,1
5,12,2,0
5,12,3,0
5,12,4,1
5,12,5,0
5,12,6,0
5,12,7,1
5,12,8,0
5,12,9,1
5,12,10,1
5,12,11,1
5,12,12,1
5,12,13,1
5,13,1,1
5,13,2,0
5,13,3,0
5,13,4,1
5,13,5,0
5,13,6,0
5,13,7,1
5,13,8,0
5,13,9,1
5,13,10,1
5,13,11,1
5,13,12,1
5,13,13,1
5,14,1,1
5,14,2,0
5,14,3,0
5,14,4,1
5,14,5,0
5,14,6,0
5,14,7,1
5,14,8,0
5,14,9,1
5,14,10,1
5,14,11,1
5,14,12,1
5,14,13,1
5,15,1,1
5,15,2,0
5,15,3,0
5,15,4,1
5,15,5,0
5,15,6,0
5,15,7,1
5,15,8,0
5,15,9,1
5,15,10,1
5,15,11,1
5,15,12,1
5,15,13,1
5,16,1,1
5,16,2,0
5,16,3,0
5,16,4,1
5,16,5,0
5,16,6,0
5,16,7,1
5,16,8,0
5,16,9,1
5,16,10,1
5,16,11,1
5,16,12,1
5,16,13,1
5,17,1,1
5,17,2,0
5,17,3,0
5,17,4,1
5,17,5,0
5,17,6,0
5,17,7,1
5,17,8,0
5,17,9,1
5,17,10,1
5,17,11,1
5,17,12,1
5,17,13,1
5,18,1,1
5,18,2,0
5,18,3,0
5,18,4,1
5,18,5,0
5,18,6,0
5,18,7,1
5,18,8,0
5,18,9,1
5,18,10,1
5,18,11,1
5,18,12,1
5,18,13,1
5,19,1,1
5,19,2,0
5,19,3,0
5,19,4,1
5,19,5,0
5,19,6,0
5,19,7,1
5,19,8,0
5,19,9,1
5,19,10,1
5,19,11,1
5,19,12,1
5,19,13,1
5,20,1,1
5,20,2,0
5,20,3,0
5,20,4,1
5,20,5,0
5,20,6,0
5,20,7,1
5,20,8,0
5,20,9,1
5,20,10,1
5,20,11,1
5,20,12,1
5,20,13,1
5,21,1,1
5,21,2,0
5,21,3,0
5,21,4,1
5,21,5,0
5,21,6,0
5,21,7,1
5,21,8,0
5,21,9,1
5,21,10,1
5,21,11,1
5,21,12,1
5,21,13,1
5,22,1,1
5,22,2,0
5,22,3,0
5,22,4,1
5,22,5,0
5,22,6,0
5,22,7,1
5,22,8,0
5,22,9,1
5,22,10,1
5,22,11,1
5,22,12,1
5,22,13,1
5,23,1,1
5,23,2,0
5,23,3,0
5,23,4,1
5,23,5,0
5,23,6,0
5,23,7,1
5,23,8,0
5,23,9,0
5,23,10,1
5,23,11,1
5,23,12,1
5,23,13,1
5,24,1,1
5,24,2,0
5,24,3,0
5,24,4,1
5,24,5,0
5,24,6,0
5,24,7,1
5,24,8,0
5,24,9,0
5,24,10,1
5,24,11,1
5,24,12,1
5,24,13,1
6,1,1,1
6,1,2,0
6,1,3,1
6,1,4,1
6,1,5,1
6,1,6,0
6,1,7,1
6,1,8,0
6,1,9,1
6,1,10,1
6,1,11,1
6,1,12,1
6,1,13,1
6,2,1,1
6,2,2,0
6,2,3,1
6,2,4,1
6,2,5,1
6,2,6,0
6,2,7,1
6,2,8,0
6,2,9,1
6,2,10,1
6,2,11,1
6,2,12,1
6,2,13,1
6,3,1,1
6,3,2,0
6,3,3,1
6,3,4,1
6,3,5,1
6,3,6,0
6,3,7,1
6,3,8,0
6,3,9,1
6,3,10,1
6,3,11,1
6,3,12,1
6,3,13,1
6,4,1,1
6,4,2,0
6,4,3,1
6,4,4,1
6,4,5,1
6,4,6,0
6,4,7,1
6,4,8,0
6,4,9,1
6,4,10,1
6,4,11,1
6,4,12,1
6,4,13,1
6,5,1,1
6,5,2,0
6,5,3,1
6,5,4,1
6,5,5,1
6,5,6,0
6,5,7,1
6,5,8,0
6,5,9,1
6,5,10,1
6,5,11,1
6,5,12,1
6,5,13,1
6,6,1,1
6,6,2,0
6,6,3,1
6,6,4,1
6,6,5,1
6,6,6,0
6,6,7,1
6,6,8,0
6,6,9,1
6,6,10,1
6,6,11,1
6,6,12,1
6,6,13,1
6,7,1,1
6,7,2,0
6,7,3,1
6,7,4,1
6,7,5,1
6,7,6,0
6,7,7,1
6,7,8,0
6,7,9,1
6,7,10,1
6,7,11,1
6,7,12,1
6,7,13,1
6,8,1,1
6,8,2,0
6,8,3,1
6,8,4,1
6,8,5,1
6,8,6,0
6,8,7,1
6,8,8,0
6,8,9,1
6,8,10,1
6,8,11,1
6,8,12,1
6,8,13,1
6,9,1,1
6,9,2,0
6,9,3,1
6,9,4,1
6,9,5,1
6,9,6,0
6,9,7,1
6,9,8,0
6,9,9,1
6,9,10,1
6,9,11,1
6,9,12,1
6,9,13,1
6,10,1,1
6,10,2,0
6,10,3,1
6,10,4,1
6,10,5,1
6,10,6,0
6,10,7,1
6,10,8,0
6,10,9,1
6,10,10,1
6,10,11,1
6,10,12,1
6,10,13,1
6,11,1,1
6,11,2,0
6,11,3,1
6,11,4,1
6,11,5,1
6,11,6,0
6,11,7,1
6,11,8,0
6,11,9,1
6,11,10,1
6,11,11,1
6,11,12,1
6,11,13,1
6,12,1,1
6,12,2,0
6,12,3,1
6,12,4,1
6,12,5,1
6,12,6,0
6,12,7,1
6,12,8,0
6,12,9,1
6,12,10,1
6,12,11,1
6,12,12,1
6,12,13,1
6,13,1,1
6,13,2,0
6,13,3,1
6,13,4,1
6,13,5,1
6,13,6,0
6,13,7,1
6,13,8,1
6,13,9,1
6,13,10,1
6,13,11,1
6,13,12,1
6,13,13,1
6,14,1,1
6,14,2,0
6,14,3,1
6,14,4,1
6,14,5,1
6,14,6,0
6,14,7,1
6,14,8,1
6,14,9,1
6,14,10,1
6,14,11,1
6,14,12,1
6,14,13,1
6,15,1,1
