"country","iso2c","year","frt","newspread","infl","cgdpgrowth","pcgdp2005l","us3mrate","lnewspread","dnewspread","lpubdebtgdp","dpubdebtgdp","linfl","dinfl","lcgdpgrowth","dcgdpgrowth","lpcgdp2005l","dpcgdp2005l","loecdgrowth","doecdgrowth","lus3mrate","dus3mrate","lvix","dvix","lfrt","dfrt"
"Ecuador","EC",2001,0.793,13.8081893920898,37.7000007629395,4.01562643051147,7.88818073272705,3.39000010490417,28.657018661499,-14.8488292694092,82.6100006103516,-20.6500015258789,96.0999984741211,-58.3999977111816,1.09180688858032,2.92381954193115,7.86838722229004,0.0197935104370117,3.90885663032532,-2.48785781860352,5.82000017166138,-2.4300000667572,23.3199996948242,2.43000030517578,0.527,0.504743833017078
"Ecuador","EC",2002,1.002,14.4303503036499,12.6000003814697,4.09677982330322,7.90902328491211,1.60000002384186,13.8081893920898,0.622160911560059,61.9599990844727,-9.43999862670898,37.7000007629395,-25.1000003814697,4.01562643051147,0.081153392791748,7.88818073272705,0.0208425521850586,1.42099869251251,0.118964552879333,3.39000010490417,-1.79000008106232,25.75,1.54000091552734,0.793,0.263556116015132
"Ecuador","EC",2003,1.149,11.9014005661011,7.92999982833862,2.72287750244141,7.91690111160278,1.00999999046326,14.4303503036499,-2.52894973754883,52.5200004577637,-7.65000152587891,12.6000003814697,-4.6700005531311,4.09677982330322,-1.37390232086182,7.90902328491211,0.00787782669067383,1.53996324539185,0.494985342025757,1.60000002384186,-0.590000033378601,27.2900009155273,-5.31000137329102,1.002,0.146706586826347
"Ecuador","EC",2004,1.237,7.90598011016846,2.78999996185303,8.21102046966553,7.9772162437439,1.37000000476837,11.9014005661011,-3.99542045593262,44.8699989318848,-5.11000061035156,7.92999982833862,-5.1399998664856,2.72287750244141,5.48814296722412,7.91690111160278,0.0603151321411133,2.0349485874176,1.08552694320679,1.00999999046326,0.360000014305115,21.9799995422363,-6.5,1.149,0.0765883376849435
"Ecuador","EC",2005,1.207,7.07083988189697,2.11999988555908,5.29130554199219,8.01060962677002,3.15000009536743,7.90598011016846,-0.835140228271484,39.7599983215332,-4.73999786376953,2.78999996185303,-0.670000076293945,8.21102046966553,-2.91971492767334,7.9772162437439,0.033393383026123,3.12047553062439,-0.510336875915527,1.37000000476837,1.78000009059906,15.4799995422363,-2.66999912261963,1.237,-0.0242522231204527
"Ecuador","EC",2006,1.206,5.42773008346558,3.29999995231628,4.4035325050354,8.03597831726074,4.73000001907349,7.07083988189697,-1.6431097984314,35.0200004577637,-6.19000053405762,2.11999988555908,1.1800000667572,5.29130554199219,-0.887773036956787,8.01060962677002,0.0253686904907227,2.61013865470886,0.269256591796875,3.15000009536743,1.57999992370605,12.8100004196167,0,1.207,-0.0008285004142503
"Ecuador","EC",2007,1.134,6.75487995147705,2.27999997138977,2.1900577545166,8.0403299331665,4.34999990463257,5.42773008346558,1.32714986801147,28.8299999237061,-1.6299991607666,3.29999995231628,-1.01999998092651,4.4035325050354,-2.2134747505188,8.03597831726074,0.00435161590576172,2.87939524650574,-0.29223895072937,4.73000001907349,-0.380000114440918,12.8100004196167,4.73000049591064,1.206,-0.0597014925373135
"Ecuador","EC",2008,0.979,13.2044992446899,8.39999961853027,6.35713672637939,8.08500576019287,1.37000000476837,6.75487995147705,6.44961929321289,27.2000007629395,-4.96000099182129,2.27999997138977,6.11999988555908,2.1900577545166,4.16707897186279,8.0403299331665,0.0446758270263672,2.58715629577637,-2.48360157012939,4.34999990463257,-2.98000001907349,17.5400009155273,15.1499977111816,1.134,-0.13668430335097
"Ecuador","EC",2009,0.849,22.0723514556885,5.15999984741211,0.566489219665527,8.07397937774658,0.150000005960464,13.2044992446899,8.86785221099854,22.2399997711182,-5.86999893188477,8.39999961853027,-3.23999977111816,6.35713672637939,-5.79064750671387,8.08500576019287,-0.0110263824462891,0.103554643690586,-3.6426637172699,1.37000000476837,-1.22000002861023,32.689998626709,-1.20999908447266,0.979,-0.132788559754852
"Ecuador","EC",2010,0.794,9.25030040740967,3.54999995231628,2.95307326316833,8.08663940429688,0.140000000596046,22.0723514556885,-12.8220510482788,16.3700008392334,3.3799991607666,5.15999984741211,-1.60999989509583,0.566489219665527,2.38658404350281,8.07397937774658,0.012660026550293,-3.53910899162292,6.29347896575928,0.150000005960464,-0.010000005364418,31.4799995422363,-8.93000030517578,0.849,-0.0647820965842167
"Ecuador","EC",2011,0.651,8.23625946044922,4.48000001907349,7.83463430404663,8.14584159851074,0.0500000007450581,9.25030040740967,-1.01404094696045,19.75,-0.780000686645508,3.54999995231628,0.930000066757202,2.95307326316833,4.88156127929688,8.08663940429688,0.0592021942138672,2.75436973571777,-1.1677919626236,0.140000000596046,-0.0900000035762787,22.5499992370605,1.65000152587891,0.794,-0.180100755667506
"Ecuador","EC",2012,0.423,NA,5.10065348011057,5.641962066712,3623.86520745403,0.0880769230769231,NA,NA,NA,NA,4.474553858528,0.139924479932071,7.86814091910996,-0.28293581359112,3485.07175652542,0.0398251343516054,1.8108312676558,-0.879138164280863,0.0528846153846154,0.665454545454546,24.2025793650794,-0.264587475098581,0.651,-0.350230414746544
"Ecuador","EC",2013,0.197,NA,2.73863175716041,4.55357553062048,3730.3783112947,0.0580769230769231,NA,NA,NA,NA,5.10065348011057,-0.463082178030835,5.641962066712,-0.192909226120658,3623.86520745403,0.0293921262914471,0.218860391186491,3.19968192358824,0.0880769230769231,-0.34061135371179,17.79888,-0.200504804368643,0.423,-0.534278959810875
"Estonia","EE",1990,-0.443,NA,NA,NA,NA,7.48999977111816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91646099090576,-0.891098737716675,NA,NA,NA,NA,NA,NA
"Estonia","EE",1991,-0.425,NA,NA,NA,NA,5.38000011444092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02536225318909,-1.78374373912811,7.48999977111816,-2.10999965667725,23.0599994659424,-4.68999862670898,-0.443,-0.0406320541760723
"Estonia","EE",1992,-0.401,NA,NA,NA,NA,3.4300000667572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24161851406097,0.805625557899475,5.38000011444092,-1.95000004768372,18.3700008392334,-2.92000102996826,-0.425,-0.056470588235294
"Estonia","EE",1993,-0.346,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04724407196045,-0.756426692008972,3.4300000667572,-0.430000066757202,15.4499998092651,-2.76000022888184,-0.401,-0.13715710723192
"Estonia","EE",1994,-0.336,NA,47.6599998474121,NA,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29081737995148,1.91920053958893,3,1.25,12.6899995803833,1.24000072479248,-0.346,-0.0289017341040461
"Estonia","EE",1995,-0.328,NA,29,NA,8.5082426071167,5.48999977111816,NA,NA,NA,NA,47.6599998474121,-18.6599998474121,NA,NA,NA,NA,3.21001791954041,-0.426798105239868,4.25,1.23999977111816,13.9300003051758,-1.53999996185303,-0.336,-0.0238095238095238
"Estonia","EE",1996,-0.324,NA,23.0599994659424,5.88989973068237,8.58022594451904,5.01000022888184,NA,NA,8.96000003814697,-1.57000017166138,29,-5.94000053405762,NA,NA,8.5082426071167,0.0719833374023438,2.78321981430054,0.120951652526855,5.48999977111816,-0.479999542236328,12.3900003433228,4.05000019073486,-0.328,-0.0121951219512195
"Estonia","EE",1997,-0.308,NA,11.1800003051758,11.7363576889038,8.70260715484619,5.05999994277954,NA,NA,7.3899998664856,-1.23000001907349,23.0599994659424,-11.8799991607666,5.88989973068237,5.84645795822144,8.58022594451904,0.122381210327148,2.90417146682739,0.534695386886597,5.01000022888184,0.0499997138977051,16.4400005340576,5.92000007629395,-0.324,-0.0493827160493828
"Estonia","EE",1998,-0.322,NA,8.21000003814697,6.80969190597534,8.77809047698975,4.78000020980835,NA,NA,6.15999984741211,-0.690000057220459,11.1800003051758,-2.97000026702881,11.7363576889038,-4.92666578292847,8.70260715484619,0.0754833221435547,3.43886685371399,-0.819497346878052,5.05999994277954,-0.279999732971191,22.3600006103516,3.23999977111816,-0.308,0.0454545454545455
"Estonia","EE",1999,-0.327,NA,3.30999994277954,-0.271257519721985,8.78297996520996,4.6399998664856,NA,NA,5.46999979019165,0.519999980926514,8.21000003814697,-4.90000009536743,6.80969190597534,-7.08094930648804,8.77809047698975,0.00488948822021484,2.61936950683594,0.808769941329956,4.78000020980835,-0.140000343322754,25.6000003814697,-1.22999954223633,-0.322,0.015527950310559
"Estonia","EE",2000,-0.327,NA,4.01000022888184,9.69717025756836,8.88000583648682,5.82000017166138,NA,NA,5.98999977111816,-0.869999885559082,3.30999994277954,0.700000286102295,-0.271257519721985,9.96842765808105,8.78297996520996,0.0970258712768555,3.42813944816589,0.480717182159424,4.6399998664856,1.18000030517578,24.3700008392334,-1.05000114440918,-0.327,0
"Estonia","EE",2001,-0.326,NA,5.63000011444092,6.28165054321289,8.94488906860352,3.39000010490417,NA,NA,5.11999988555908,-0.339999675750732,4.01000022888184,1.61999988555908,9.69717025756836,-3.41551971435547,8.88000583648682,0.0648832321166992,3.90885663032532,-2.48785781860352,5.82000017166138,-2.4300000667572,23.3199996948242,2.43000030517578,-0.327,-0.00305810397553517
"Estonia","EE",2002,-0.322,NA,3.58999991416931,6.56042861938477,9.0124397277832,1.60000002384186,NA,NA,4.78000020980835,0.949999809265137,5.63000011444092,-2.04000020027161,6.28165054321289,0.278778076171875,8.94488906860352,0.0675506591796875,1.42099869251251,0.118964552879333,3.39000010490417,-1.79000008106232,25.75,1.54000091552734,-0.326,-0.0122699386503068
"Estonia","EE",2003,-0.325,NA,1.38999998569489,7.765380859375,9.09097766876221,1.00999999046326,NA,NA,5.73000001907349,-0.110000133514404,3.58999991416931,-2.19999980926514,6.56042861938477,1.20495223999023,9.0124397277832,0.0785379409790039,1.53996324539185,0.494985342025757,1.60000002384186,-0.590000033378601,27.2900009155273,-5.31000137329102,-0.322,0.00931677018633541
"Estonia","EE",2004,-0.323,NA,3.02999997138977,6.34284353256226,9.15563297271729,1.37000000476837,NA,NA,5.61999988555908,-0.589999675750732,1.38999998569489,1.63999998569489,7.765380859375,-1.42253732681274,9.09097766876221,0.0646553039550781,2.0349485874176,1.08552694320679,1.00999999046326,0.360000014305115,21.9799995422363,-6.5,-0.325,-0.00615384615384616
