"country","iso2c","date","bid_ask_local_spread_bloomberg","bid_ask_usd_spread_bloomberg","bond_spread_local_US_10yr_bloomberg","bond_spread_usd_US_10yr_bloomberg","bond_spread_local_DE_10yr_bloomberg","bond_spread_usd_DE_10yr_bloomberg","bond_spread_local_JP_10yr_bloomberg","bond_spread_usd_JP_10yr_bloomberg","bond_spread_local_UK_10yr_bloomberg","bond_spread_usd_UK_10yr_bloomberg"
"China","CN","2010-12-03",0.016,,84.4234,,99.5999,,263.844,,44.0482,
"China","CN","2010-12-10",0.016,,52.8305,,89.6867,,264.618,,33.3499,
"China","CN","2010-12-17",0.016,,46.3454,,76.6327,,259.421,,23.7894,
"China","CN","2010-12-24",0.016,,40.5031,,81.9949,,264.12,,29.3588,
"China","CN","2010-12-31",0.012,,54.6471,,88.0544,,271.584,,44.7725,
"China","CN","2011-01-07",0.0150000000000001,,47.5498,,93.4503,,259.806,,29.0719,
"China","CN","2011-01-14",0.0129999999999999,,54.0309,,83.9408,,266.229,,25.7914,
"China","CN","2011-01-21",0.012,,56.4817,,79.7334,,275.493,,27.7511,
"China","CN","2011-01-28",0.0130000000000003,,67.0841,,84.8058,,277.216,,34.5971,
"China","CN","2011-02-04",0.00999999999999979,,35.7817,,73.6278,,270.748,,17.8181,
"China","CN","2011-02-11",0.0120000000000005,,45.1047,,78.925,,276.856,,21.5746,
"China","CN","2011-02-18",0.016,,42.1364,,75.1299,,269.602,,20.0146,
"China","CN","2011-02-25",0.016,,50.9219,,77.3661,,267.24,,30.911,
"China","CN","2011-03-04",0.016,,42.8395,,64.892,,261.707,,29.3481,
"China","CN","2011-03-11",0.0150000000000001,,51.346,,70.5928,,266.461,,37.2287,
"China","CN","2011-03-18",0.016,,57.4006,,65.7431,,263.045,,33.6443,
"China","CN","2011-03-25",0.016,,43.2474,,59.5394,,264.998,,26.371,
"China","CN","2011-04-01",0.016,,43.6364,,50.9967,,259.727,,16.361,
"China","CN","2011-04-08",0.0150000000000001,,31.3827,,41.3764,,256.979,,8.6487,
"China","CN","2011-04-15",0.0150000000000001,,43.4249,,46.8021,,255.488,,24.5528,
"China","CN","2011-04-22",0.0150000000000001,,47.6214,,61.035,,265.062,,34.3989,
"China","CN","2011-04-29",0.0149999999999997,,57.1827,,62.2488,,265.179,,43.2202,
"China","CN","2011-05-06",0.0150000000000001,,66.9495,,64.9263,,267.302,,43.6443,
"China","CN","2011-05-13",0.0150000000000001,,64.8007,,74.242,,269.382,,45.5238,
"China","CN","2011-05-20",0.0149999999999997,,67.4029,,76.4178,,269.101,,47.5689,
"China","CN","2011-05-27",0.0149999999999997,,73.8085,,82.8352,,268.346,,51.9687,
"China","CN","2011-06-03",0.0139999999999998,,83.8281,,76.7656,,268.6,,53.9702,
"China","CN","2011-06-10",0.00500000000000034,,89.687,,90.6852,,272.797,,64.4196,
"China","CN","2011-06-17",0.016,,102.2023,,100.9461,,284.831,,77.0078,
"China","CN","2011-06-24",0.0919999999999996,,97.1252,,100.2381,,272.664,,70.51,
"China","CN","2011-07-01",0.0830000000000002,,63.5183,,78.5255,,267.937,,43.3742,
"China","CN","2011-07-08",0.0649999999999999,,84.4436,,104.3718,,269.508,,68.0154,
"China","CN","2011-07-15",0.0630000000000002,,98.9689,,120.1882,,280.532,,81.9958,
"China","CN","2011-07-22",0.093,,105.1469,,118.695,,291.14,,90.8437,
"China","CN","2011-07-29",0.0620000000000003,,121.9972,,147.9534,,293.586,,115.9088,
"China","CN","2011-08-05",0.077,,144.6335,,166.114,,300.046,,131.9992,
"China","CN","2011-08-12",0.0569999999999999,,165.1148,,157.4389,,285.871,,137.4905,
"China","CN","2011-08-19",0.0420000000000003,,184.7163,,180.7004,,292.21,,152.4881,
"China","CN","2011-08-26",0.0720000000000001,,175.4894,,179.0014,,290.44,,144.851,
